scenario,room,name,klas,type,color,img,pos,category,has_opts,available,modable,collectible,consumable,uses,speed,range,time_color,lifespan,vspeed,vfreq,layer,effects
BODY,,,,,,,,,,,,,,,,,,,,,,
scenario_02,11_11,my_body,body,my_body,gelb05,galab,center,,TRUE,TRUE,,,,,2,1,fog_color,30,,,2,LP_-15 #rev
Options,,,,,,,,,,,,,,,,,,,,,,
scenario_02,,option,body,option,,,,my_body,,TRUE,,,,,,,,,,,,
scenario_02,,option2,body,option,,,,my_body,,TRUE,,,,,,,,,,,,
scenario_02,,option3,body,option,,,,my_body,,TRUE,,,,,,,,,,,,
scenario_02,,option4,body,option,,,,my_body,,TRUE,,,,,,,,,,,,
scenario_02,,suicide,item,option,,suicide,,my_body,,TRUE,,,,,,,,,,,1,
scenario_02,,echo,item,option,,bow,,my_body,,TRUE,TRUE,,,,,,,,,,1,
Bag,,,,,,,,,,,,,,,,,,,,,,
scenario_02,ALL,bag,item,inventory,grey03,plastic_bag,21_19,bag,TRUE,TRUE,,,,,,,,,,,1,
scenario_02,,inventory_placeholder,item,option,grey03,,,bag,,TRUE,,,,,,,,,,,1,
scenario_02,,inventory_placeholder2,item,option,grey03,,,bag,,TRUE,,,,,,,,,,,1,
scenario_02,,inventory_placeholder3,item,option,grey03,,,bag,,TRUE,,,,,,,,,,,1,
scenario_02,,inventory_placeholder4,item,option,grey03,,,bag,,TRUE,,,,,,,,,,,1,
scenario_02,,inventory_placeholder5,item,option,grey03,,,bag,,TRUE,,,,,,,,,,,1,
scenario_02,,inventory_placeholder6,item,option,grey03,,,bag,,TRUE,,,,,,,,,,,1,
Subbodies,,,,,,,,,,,,,,,,,,,,,,
scenario_02,,signal,body,signal,,,,,,TRUE,,,,,10,1,,,,,3,LP_-15
scenario_02,,shit,body,,gelb09,laino2,,,,,,TRUE,TRUE,,,1,fog_color,5,,2,1,LP_-15
scenario_02,,scout,scout,scout,grey05,emoji_eye_y,,,,,,,,,4,1,fog_color,30,,0.5,1,LP_-30 #rev
scenario_02,12_12,lover,body,body,red03,bqlgalab,13_9,,,TRUE,,,,,1,1,fog_color,180,,,,
COMMON,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
scenario_02,,block_of_steel,item,,grey02,,,,,,,,,,,,,,,,1,
ROOM_11_9 (LABYRINTH),,,,,,,,,,,,,,,,,,,,,,
scenario_02,11_9,block_01,item,,grey02,,10_16,,,,,,,,,,,,,,,
scenario_02,11_9,block_02,item,,grey02,,9_15,,,,,,,,,,,,,,,
scenario_02,11_9,block_03,item,,grey02,,10_16,,,,,,,,,,,,,,,
scenario_02,11_9,block_04,item,,grey02,,11_15,,,,,,,,,,,,,,,
scenario_02,11_9,block_05,item,,grey02,,12_14,,,,,,,,,,,,,,,
scenario_02,11_9,block_06,item,,grey02,,13_15,,,,,,,,,,,,,,,
scenario_02,11_9,block_07,item,,grey02,,14_16,,,,,,,,,,,,,,,
scenario_02,11_9,block_08,item,,grey02,,14_14,,,,,,,,,,,,,,,
scenario_02,11_9,block_09,item,,grey02,,14_12,,,,,,,,,,,,,,,
scenario_02,11_9,block_10,item,,grey02,,10_12,,,,,,,,,,,,,,,
scenario_02,11_9,block_11,item,,grey02,,9_11,,,,,,,,,,,,,,,
scenario_02,11_9,block_12,item,,grey02,,11_11,,,,,,,,,,,,,,,
scenario_02,11_9,block_13,item,,grey02,,10_10,,,,,,,,,,,,,,,
scenario_02,11_9,block_14,item,,grey02,,9_9,,,,,,,,,,,,,,,
scenario_02,11_9,block_15,item,,grey02,,9_7,,,,,,,,,,,,,,,
scenario_02,11_9,block_16,item,,grey02,,10_6,,,,,,,,,,,,,,,
scenario_02,11_9,block_17,item,,grey02,,9_5,,,,,,,,,,,,,,,
scenario_02,11_9,block_18,item,,grey02,,11_5,,,,,,,,,,,,,,,
scenario_02,11_9,block_19,item,,grey02,,12_8,,,,,,,,,,,,,,,
scenario_02,11_9,block_20,item,,grey02,,13_9,,,,,,,,,,,,,,,
scenario_02,11_9,block_21,item,,grey02,,14_8,,,,,,,,,,,,,,,
scenario_02,11_9,block_22,item,,grey02,,14_6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DOORS,,,,,,,,,,,,,,,,,,,,,,
scenario_02,11_11,Enter_11_9,item,door,grey03,,11_1,,,,,,,,,,,,,,,
scenario_02,11_11,Enter_11_13,item,door,grey03,,11_21,,,,,,,,,,,,,,,
