scenario,room,name,klas,type,category,has_opts,available,modable,collectible,consumable,uses,color,img,pos,speed,range,time_color,lifespan,vibe_freq
scenario_2,,govna,item,option,bokluk,,TRUE,,,,,,transmittor,,,,,,
scenario_2,,laina,item,option,bokluk,,TRUE,,,,,,tasche,,,,,,
scenario_2,,otvrat,item,option,bokluk,,TRUE,,,,,,suleiman1,,,,,,
scenario_2,,smrad,item,option,bokluk,,TRUE,,,,,,lizzard2,,,,,,
scenario_2,,gadost,item,option,bokluk,,TRUE,,,,,,skeletor3,,,,,,
scenario_2,,gnus,item,option,bokluk,,TRUE,,,,,,crown,,,,,,
scenario_2,,shuplesto,item,option,govna,,TRUE,,,,,,chickin,,,,,,
scenario_2,,luskavo,item,option,govna,,TRUE,,,,,,gvin1,,,,,,
scenario_2,,cherno,item,option,govna,,TRUE,,,,,,zombie3,,,,,,
scenario_2,,mirizlivo,item,option,govna,,TRUE,,,,,,vampir1,,,,,,
scenario_2,,techno,item,option,govna,,TRUE,,,,,,snail,,,,,,
scenario_2,,mazno,item,option,govna,,TRUE,TRUE,,,,,zombie,,,,,,
scenario_2,,my_body,body,my_body,,TRUE,TRUE,,,,,azure,alien1,12_12,7,1,yellow,600,
scenario_2,12_12,bokluk,body,,,TRUE,,,TRUE,,,green,egg,13_11,1,,,,
scenario_2,,mitosis,item,option,bokluk,,TRUE,,,,,,mitosis,,,,,,
scenario_2,,eat,item,option,sensory,,TRUE,TRUE,,,,,emoji_lips_y,,,,,,
scenario_2,,audio,item,option,sensory,,TRUE,TRUE,,,,,emoji_ear_y,,,,,,
scenario_2,,smel,item,option,sensory,,TRUE,TRUE,,,,,emoji_nose_y,,,,,,
scenario_2,,medi,item,option,sensory,,TRUE,,,,,,medi2,,,,,,
scenario_2,,touch,item,option,sensory,,TRUE,TRUE,,,,,emoji_touch_y,,,,,,
scenario_2,,see,item,option,sensory,,TRUE,TRUE,,,,,emoji_eye_y,,,,,,
scenario_2,,mitosis,item,option,my_body,,TRUE,,,,,,mitosis,,,,,,
scenario_2,,sensory,item,option,my_body,TRUE,TRUE,,,,,,emoji_brain,,,,,,
