scenario,room,name,klas,type,category,has_opts,available,modable,collectible,consumable,uses,color,img,pos,speed,range,time_color,lifespan,vibe_freq,layer
scenario_3,11_11,my_body,body,my_body,,TRUE,TRUE,,,,,yellow,galab,11_11,8,6,grey,600,,2
,11_7,lover,body,,,,,,,,,cyclama,bqlgalab,13_9,1,1,,,,1
scenario_3,11_11,Enter_11_9,item,door,,,,,,,,grey5,door1,11_3,,,,,,1
scenario_3,11_9,Enter_11_8,item,door,,,,,,,,grey5,door2,11_3,,,,,,1
scenario_3,11_7,Enter_11_6,item,door,,,,,,,,grey5,door3,11_3,,,,,,1
scenario_3,11_7,Enter_10_9,item,door,,,,,,,,grey5,door4,7_15,,,,,,1
scenario_3,11_7,Enter_12_9,item,door,,,,,,,,grey5,door5,15_15,,,,,,1
scenario_3,10_8,Enter_11_7,item,door,,,,,,,,grey5,door6,11_3,,,,,,1
scenario_3,12_8,Enter_14_8,item,door,,,,,,,,grey5,door7,14_6,,,,,,1
scenario_3,10_8,Enter_11_11,item,door,,,,,,,,grey5,door8,11_7,,,,,,1
scenario_3,11_11,Enter_13_13,item,door,,,,,,,,grey5,door9,15_15,,,,,,1
scenario_3,12_12,Enter_12_14,item,door,,,,,,,,grey5,door10,7_15,,,,,,1
scenario_3,11_13,Enter_11_13,item,door,,,,,,,,grey5,door11,7_7,,,,,,1
scenario_3,,eat,item,option,my_body,,TRUE,TRUE,,,,,emoji_lips_y,,,,,,,1
scenario_3,,collect,item,option,my_body,,TRUE,TRUE,,,,,grab,,,,,,,1
scenario_3,11_11,bar_E,item,,,,TRUE,,,,,,neon_bar,11_1,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
scenario_3,11_11,pretzel,item,,,,,,TRUE,TRUE,1,grey5,pretzel,7_7,,,,,,1
scenario_3,11_11,carrot,item,,,,,,TRUE,TRUE,1,grey5,carrot,7_9,,,,,,1
scenario_3,11_11,corn,item,,,,,,TRUE,TRUE,1,grey5,corn,7_11,,,,,,1
scenario_3,11_11,apple,item,,,,,,TRUE,TRUE,1,grey5,apple,7_13,,,,,,1
scenario_3,11_11,banana,item,,,,,,TRUE,TRUE,1,grey5,banana,15_13,,,,,,1
scenario_3,11_11,chilli,item,,,,,,TRUE,TRUE,1,grey5,chilli,8_6,,,,,,1
scenario_3,11_11,lemon,item,,,,,,TRUE,TRUE,1,grey5,lemon,9_5,,,,,,1
,11_11,tomato,item,,,,,,TRUE,TRUE,1,grey5,tomato,10_5,,,,,,1
,11_11,icecream,item,,,,,,TRUE,TRUE,1,grey5,icecream,12_6,,,,,,1
,11_11,hotdog,item,,,,,,TRUE,TRUE,1,grey5,hotdog,13_5,,,,,,1
,11_11,pizza,item,,,,,,TRUE,TRUE,1,grey5,pizza,14_6,,,,,,1
,11_11,fresh,item,,,,,,TRUE,TRUE,1,grey5,fresh2,15_7,,,,,,1
,11_11,bread,item,,,,,,TRUE,TRUE,1,grey5,bread,15_9,,,,,,1
,11_11,shrimp,item,,,,,,TRUE,TRUE,1,grey5,shrimp,15_11,,,,,,1
,11_9,block_of_steel1,item,,,,,,,,,grey3,,10_16,,,,,,1
,11_9,block_of_steel2,item,,,,,,,,,grey3,,9_15,,,,,,1
,11_9,block_of_steel3,item,,,,,,,,,grey3,,10_16,,,,,,1
,11_9,block_of_steel4,item,,,,,,,,,grey3,,11_16,,,,,,1
,11_9,block_of_steel5,item,,,,,,,,,grey3,,12_14,,,,,,1
,11_9,block_of_steel6,item,,,,,,,,,grey3,,13_15,,,,,,1
,11_9,block_of_steel7,item,,,,,,,,,grey3,,14_16,,,,,,1
,11_9,block_of_steel8,item,,,,,,,,,grey3,,14_14,,,,,,1
,11_9,block_of_steel9,item,,,,,,,,,grey3,,14_12,,,,,,1
,11_9,block_of_steel10,item,,,,,,,,,grey3,,10_12,,,,,,1
,11_9,block_of_steel11,item,,,,,,,,,grey3,,9_11,,,,,,1
,11_9,block_of_steel12,item,,,,,,,,,grey3,,11_11,,,,,,1
,11_9,block_of_steel13,item,,,,,,,,,grey3,,10_10,,,,,,1
,11_9,block_of_steel14,item,,,,,,,,,grey3,,9_9,,,,,,1
,11_9,block_of_steel15,item,,,,,,,,,grey3,,9_7,,,,,,1
,11_9,block_of_steel16,item,,,,,,,,,grey3,,10_6,,,,,,1
,11_9,block_of_steel17,item,,,,,,,,,grey3,,9_5,,,,,,1
,11_9,block_of_steel18,item,,,,,,,,,grey3,,11_5,,,,,,1
,11_9,block_of_steel19,item,,,,,,,,,grey3,,12_8,,,,,,1
,11_9,block_of_steel20,item,,,,,,,,,grey3,,13_9,,,,,,1
,11_9,block_of_steel21,item,,,,,,,,,grey3,,14_8,,,,,,1
,11_9,block_of_steel22,item,,,,,,,,,grey3,,14_6,,,,,,1
scenario_3,11_11,birdcage,item,,,,,,,,,blue,birdcage,7_15,,,,,,1
