scenario,room,name,klas,type,category,has_opts,available,modable,collectible,consumable,uses,color,img,pos,speed,range,time_color,lifespan,vibe_freq,layer
scenario_2,,my_body,body,my_body,,TRUE,TRUE,,,,,azure,alien1,11_11,7,1,yellow,600,,2
scenario_2,,mitosis,item,option,my_body,,TRUE,,,,,,mitosis,,,,,,,3
,,,,,,,,,,,,,,,,,,,,
scenario_2,ALL,sensory,item,inventory,,TRUE,TRUE,,,,,azure,emoji_brain,17_7,,,,,,1
scenario_2,,eat,item,option,sensory,,TRUE,TRUE,,,,,emoji_lips_y,,,,,,,3
scenario_2,,audio,item,option,sensory,,TRUE,TRUE,,,,,emoji_ear_y,,,,,,,3
scenario_2,,smel,item,option,sensory,,TRUE,TRUE,,,,,emoji_nose_y,,,,,,,3
scenario_2,,medi,item,option,sensory,,TRUE,,,,,,medi2,,,,,,,3
scenario_2,,touch,item,option,sensory,,TRUE,TRUE,,,,,emoji_touch_y,,,,,,,3
scenario_2,,see,item,option,sensory,,TRUE,TRUE,,,,,emoji_eye_y,,,,,,,3
,,,,,,,,,,,,,,,,,,,,
scenario_2,11_11,bokluk,body,,,TRUE,,,TRUE,,,green,egg,12_10,1,,,,,2
scenario_2,,govna,item,option,bokluk,,TRUE,,,,,,transmittor,,,,,,,3
scenario_2,,laina,item,option,bokluk,,TRUE,,,,,,tasche,,,,,,,3
scenario_2,,otvrat,item,option,bokluk,,TRUE,,,,,,suleiman1,,,,,,,3
scenario_2,,smrad,item,option,bokluk,,TRUE,,,,,,lizzard2,,,,,,,3
scenario_2,,gadost,item,option,bokluk,,TRUE,,,,,,skeletor3,,,,,,,3
scenario_2,,mitosis,item,option,bokluk,,TRUE,,,,,,crown,,,,,,,3
ALL,,echo,item,option,my_body,,TRUE,TRUE,,,,,bow,,,,,,,1
ALL,ALL,bag,item,inventory,bag,TRUE,TRUE,,,,,,plastic_bag,17_3,,,,,,1
ALL,,block_of_steel,item,,,,,,,,,grey03,,,,,,,,1
ALL,,placeholder,item,,,,TRUE,,,,,,,,,,,,,1
ALL,,trigger,body,trigger,,,TRUE,,,,,,,,,,,,,1
ALL,,EDITOR1,item,editor,,,TRUE,TRUE,,,,grey04,emoji_eye_y,21_3,,,,,,1
ALL,,EDITOR2,item,editor,,,TRUE,TRUE,,,,grey04,laino2,21_5,,,,,,1
ALL,,EDITOR3,item,editor,,,TRUE,TRUE,,,,grey04,stone,21_7,,,,,,1
ALL,,EDITOR4,item,editor,,,TRUE,TRUE,,,,grey04,phone,21_9,,,,,,1
ALL,,EDITOR5,item,editor,,,TRUE,TRUE,,,,grey04,bus,21_11,,,,,,1
ALL,,EDITOR6,item,editor,,,TRUE,,,,,grey04,world,21_13,,,,,,1
ALL,,EDITOR7,item,editor,,,TRUE,,,,,grey04,cam,21_15,,,,,,1
ALL,,EDITOR8,item,editor,,,TRUE,,,,,grey04,tv,21_17,,,,,,1
ALL,,EDITOR9,item,editor,,,TRUE,TRUE,,,,grey04,del2,21_19,,,,,,1
ALL,,EDITOR11,item,editor,,,TRUE,,,,,grey04,pizza,22_4,,,,,,1
ALL,,EDITOR12,item,editor,,,TRUE,,,,,grey04,cig,22_6,,,,,,1
ALL,,EDITOR13,item,editor,,,TRUE,,,,,grey04,ape,22_8,,,,,,1
ALL,,EDITOR14,item,editor,,,TRUE,,,,,grey04,spritz2,22_10,,,,,,1
ALL,,EDITOR15,item,editor,,,TRUE,,,,,grey04,satellite,22_12,,,,,,1
ALL,,EDITOR16,item,editor,,,TRUE,,,,,grey04,pill3,22_14,,,,,,1
ALL,,EDITOR17,item,editor,,,TRUE,,,,,grey04,shroom1,22_16,,,,,,1
ALL,,EDITOR18,item,editor,,,TRUE,,,,,grey04,hotdog,22_18,,,,,,1
,,,,,,,,,,,,,,,,,,,,
ALL,,observer,body,,,,,,,,,grey04,emoji_eye_y,,2,1,,60,2,1
ALL,,kiss,item,option,,,TRUE,TRUE,,,,,emoji_lips_y,,,,,,,1
ALL,,signal,body,signal,,,TRUE,,,,,,,,10,1,,,,3
ALL,,suicide,item,option,my_body,,TRUE,,,,,,suicide,,,,,,,1
ALL,,bag_placeholder1,item,option,bag,,TRUE,,,,,,,,,,,,,1
ALL,,bag_placeholder2,item,option,bag,,TRUE,,,,,,,,,,,,,1
ALL,,bag_placeholder3,item,option,bag,,TRUE,,,,,,,,,,,,,1
ALL,,bag_placeholder4,item,option,bag,,TRUE,,,,,,,,,,,,,1
ALL,,bag_placeholder5,item,option,bag,,TRUE,,,,,,,,,,,,,1
ALL,,bag_placeholder6,item,option,bag,,TRUE,,,,,,,,,,,,,1
ALL,,shit,item,,,,,TRUE,TRUE,TRUE,1,gelb19,laino2,,,,,,,1
ALL,,product_shit,item,,,,,,TRUE,TRUE,,gelb18,laino2,,,,,,,1
